cod_ncm;nom_categoria;desc_ncm;ignore1;ignore2;ignore3;ignore4;ignore5;
02076000;CARNES E MIUDEZAS, COMESTÍVEIS;02076000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/GALINAS-D'ANGOLA;;;;;;
02081000;CARNES E MIUDEZAS, COMESTÍVEIS;02081000 - CARNES,MIUDEZ.D/COELHO,LEBRE,FR/REFR.CONG.;;;;;;
02083000;CARNES E MIUDEZAS, COMESTÍVEIS;02083000 - CARNES,MIUD.COM.D/PRIMATAS FRES.REFR.CONG.;;;;;;
02084000;CARNES E MIUDEZAS, COMESTÍVEIS;02084000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/BALEIAS,GOLF.BOT.,;;;;;;
02085000;CARNES E MIUDEZAS, COMESTÍVEIS;02085000 - CARN.MIUD.D/RÉPTS,SERP.TART.MAR.FR.REF.CONG.;;;;;;
02086000;CARNES E MIUDEZAS, COMESTÍVEIS;02086000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/CAMELOS E OUTROS;;;;;;
02089000;CARNES E MIUDEZAS, COMESTÍVEIS;02089000 - OUTRAS CARNES E MIUD.COMEST.FRESCO REFRIG./CONGELADOS;;;;;;
02091011;CARNES E MIUDEZAS, COMESTÍVEIS;02091011 - TOUCINHO DE PORCO FRESCO, REFRIGERADO/CONGELADO;;;;;;
02091019;CARNES E MIUDEZAS, COMESTÍVEIS;02091019 - TOUCINHO DE PORCO SALGADO,EM SALMOURA,SECO OU DEFUMADO;;;;;;
02091021;CARNES E MIUDEZAS, COMESTÍVEIS;02091021 - GORDURA DE PORCO FRESCA REFRIGERADA OU CONGELADA;;;;;;
02091029;CARNES E MIUDEZAS, COMESTÍVEIS;02091029 - GORDURA DE PORCO SALGADA OU EM SALMOURA, SECA/DEFUMADA;;;;;;
02099000;CARNES E MIUDEZAS, COMESTÍVEIS;02099000 - OUTS.GORD.DE AVES FRESC.REFR.CONG.SALG.SALM.SECOS/DEFUM;;;;;;
02101100;CARNES E MIUDEZAS, COMESTÍVEIS;02101100 - PERNAS,PÁS,ETC.Ñ DESOSS.SUÍNOS,SALG.SECAS;;;;;;
